n_constituents,precision,seed,macro_ovr_auc,auc_g,auc_q,auc_W,auc_Z,auc_t
64,FP32,2,0.9478206248793345,0.9383878437909791,0.916739724233406,0.9646090564465433,0.9615029085237461,0.9578635914019983
64,FP32,3,0.9480030503679844,0.9366907959689175,0.9172080381123323,0.9677535561503022,0.9623462833928424,0.9560165782155268
64,W8A8,1,0.9435138698192572,0.9385881800250088,0.916569968105614,0.9550228281025739,0.9494140340835251,0.9579743387795643
64,W8A8,2,0.9456040406336126,0.9383371302088355,0.9172695543634419,0.9595494732277302,0.9546401908906608,0.9582238544773938
64,W8A8,3,0.9451430572785183,0.939044540493129,0.9178265086727447,0.9578380242820552,0.9519746631396034,0.9590315498050586
64,W1A8,1,0.9028452563722557,0.920017035995191,0.8822215197889858,0.8865600509256544,0.879113790719131,0.9463138844323159
64,W1A8,2,0.9251371179177255,0.9272076586672864,0.9018462097408426,0.9285448894917487,0.918969184328622,0.9491176473601277
64,W1A8,3,0.9083973210413895,0.9245168252628317,0.8928516363719309,0.896716716056768,0.879190744068471,0.9487106834469455
64,W1A6,1,0.9066779456728025,0.9160070524715338,0.8923192430391538,0.8949681840321141,0.8864727611047374,0.943622487716473
64,W1A6,2,0.9181530993136864,0.9216092713260702,0.8990562606288136,0.9186440587485597,0.9071010877715122,0.9443548180934762
64,W1A6,3,0.916091354309714,0.9184600557804141,0.900257601932221,0.9128564290225892,0.9031272742777221,0.9457554105356231
64,W1A4,1,0.9065090315927323,0.9105996837526954,0.8945547209947736,0.9011638531266795,0.8895990917051176,0.9366278083843956
64,W1A4,2,0.9083352703769301,0.9115908939275567,0.89670492198482,0.9021130157206889,0.8922012387068968,0.939066281544688
64,W1A4,3,0.9069835970541542,0.9114985563179536,0.8978692979423986,0.8987823067573195,0.8875544910511315,0.9392133332019674
