n_constituents,precision,seed,class,fpr,tpr
8,FP32,1,g,0.0004188645235435271,0.007059663377405199
8,FP32,1,g,0.0004353073364731892,0.007272425491707972
8,FP32,1,g,0.00045239562325380536,0.007437343817551922
8,FP32,1,g,0.00047015472240221294,0.007675072122426143
8,FP32,1,g,0.0004886109671160327,0.00787440889043069
8,FP32,1,g,0.0005077917243205403,0.008030514113504575
8,FP32,1,g,0.0005277254352483538,0.008173622894888289
8,FP32,1,g,0.0005484416576121015,0.008712367053296036
8,FP32,1,g,0.0005699711094326076,0.008879545882638189
8,FP32,1,g,0.0005923457145875806,0.009434459551655299
8,FP32,1,g,0.0006155986501483508,0.009577473259447723
8,FP32,1,g,0.0006397643955748423,0.010144741983961338
8,FP32,1,g,0.0006648787838417263,0.010419551484818088
8,FP32,1,g,0.0006909790545715645,0.010713771616915474
8,FP32,1,g,0.0007181039092537349,0.010935720539375589
8,FP32,1,g,0.0007462935686310129,0.01125315316949269
8,FP32,1,g,0.0007755898323389002,0.011755006236818303
8,FP32,1,g,0.0008060361408861345,0.01230182694740285
8,FP32,1,g,0.0008376776400682916,0.012783347213335185
8,FP32,1,g,0.0008705612479099857,0.013047191680427474
8,FP32,1,g,0.0009047357242349293,0.013331788314184963
8,FP32,1,g,0.0009402517429670132,0.01360144270154798
8,FP32,1,g,0.0009771619672696182,0.014061043350837792
8,FP32,1,g,0.0010155211276345682,0.014473215251455568
8,FP32,1,g,0.001055386103036523,0.014904338728398308
8,FP32,1,g,0.001096816005273138,0.015069357595425586
8,FP32,1,g,0.0011398722666160514,0.01578752062064457
8,FP32,1,g,0.0011846187309026836,0.016484318374951283
8,FP32,1,g,0.0012311217482038896,0.016981141748734323
8,FP32,1,g,0.0012794502732078733,0.017697790925643973
8,FP32,1,g,0.0013296759674662113,0.018550229685259653
8,FP32,1,g,0.0013818733056536322,0.018889233088322868
8,FP32,1,g,0.0014361196859990787,0.019376347359056453
8,FP32,1,g,0.0014924955450518291,0.019865213171198323
8,FP32,1,g,0.0015510844769528406,0.020494516933583496
8,FP32,1,g,0.001611973357388157,0.020949780451882855
8,FP32,1,g,0.0016752524724082155,0.021298819338437212
8,FP32,1,g,0.0017410156523040153,0.021786725086306722
8,FP32,1,g,0.0018093604107387166,0.022906724600353572
8,FP32,1,g,0.0018803880893409146,0.023529531499355483
8,FP32,1,g,0.0019542040079740535,0.02420969649720215
8,FP32,1,g,0.002030917620904735,0.025080245538788445
8,FP32,1,g,0.0021106426791015548,0.025689158018745804
8,FP32,1,g,0.002193497398905058,0.02686208386786404
8,FP32,1,g,0.00227960463731898,0.028206213307084105
8,FP32,1,g,0.002369092074182632,0.02894462327746007
8,FP32,1,g,0.0024620924014946257,0.029675607476159802
